Q2 saw increased edge defects possibly due to tool aging.
Maintenance backlog noted in May.
2026-01-02T18:40:20.956095 | Plant_A | M-4 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956637 | Plant_C | M-2 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956642 | Plant_B | M-6 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956646 | Plant_C | M-7 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956650 | Plant_C | M-7 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956655 | Plant_B | M-2 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956659 | Plant_A | M-2 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956662 | Plant_B | M-10 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956666 | Plant_B | M-7 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956670 | Plant_B | M-8 | Scratch | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956674 | Plant_A | M-4 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956678 | Plant_A | M-8 | Contamination | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956682 | Plant_A | M-4 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956686 | Plant_C | M-2 | Alignment | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956690 | Plant_C | M-3 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956694 | Plant_C | M-1 | Crack | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956698 | Plant_A | M-10 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956702 | Plant_A | M-7 | Crack | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956706 | Plant_A | M-9 | Alignment | MEDIUM | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956714 | Plant_A | M-2 | Crack | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956721 | Plant_B | M-6 | Scratch | HIGH | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956729 | Plant_B | M-3 | Alignment | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956737 | Plant_B | M-9 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956744 | Plant_A | M-5 | Scratch | LOW | Observed during inspection, corrective action pending
2026-01-02T18:40:20.956752 | Plant_C | M-9 | Alignment | LOW | Observed during inspection, corrective action pending
